"";"";"";"";"";"";"";"";"foo"
"Country";"Germany";"Germany";"Germany";"Switzerland";"Switzerland";"Austria";"Austria";"-"
"Matrix";"Pigs (N=84)";"Meat from bovine animals (N=4)";"Meat from pig (N=37)";"Cattle (bovine animals) (N=11)";"Pigs (N=166)";"Meat from pig (N=45)";"Meat from bovine animals (N=6)";"Total"
"CEF-CLI-ERY-PEN-Q/D-TET-TIA-TMP";"16 (19)";"";"5 (13.5)";"1 (9.1)";"19 (11.4)";"2 (4.4)";"";"43 (12.2)"
"CEF-PEN-TET";"6 (7.1)";"";"2 (5.4)";"1 (9.1)";"14 (8.4)";"9 (20)";"";"32 (9.1)"
"CEF-CHL-CIP-PEN-TET";"";"";"";"";"31 (18.7)";"";"";"31 (8.8)"
"CEF-CLI-PEN-Q/D-TET-TIA-TMP";"10 (11.9)";"";"";"";"10 (6)";"2 (4.4)";"1 (16.7)";"23 (6.5)"
"CEF-CLI-ERY-PEN-Q/D-STR-TET-TIA-TMP";"4 (4.8)";"";"2 (5.4)";"";"14 (8.4)";"";"";"20 (5.7)"
"CEF-PEN-STR-TET";"1 (1.2)";"";"";"1 (9.1)";"14 (8.4)";"2 (4.4)";"";"18 (5.1)"
"CEF-CIP-CLI-ERY-PEN-TET-TMP";"5 (6)";"";"4 (10.8)";"1 (9.1)";"";"";"1 (16.7)";"11 (3.1)"
"CEF-CIP-PEN";"";"";"7 (18.9)";"";"";"4 (8.9)";"";"11 (3.1)"
"CEF-CIP-PEN-TET";"1 (1.2)";"";"1 (2.7)";"";"7 (4.2)";"2 (4.4)";"";"11 (3.1)"
"CEF-CLI-PEN-Q/D-TIA-TMP";"";"";"";"";"8 (4.8)";"";"2 (33.3)";"10 (2.8)"
"CEF-CLI-PEN-Q/D-STR-TET-TIA-TMP";"5 (6)";"";"";"";"1 (0.6)";"3 (6.7)";"";"9 (2.5)"
"CEF-CIP-CLI-PEN-Q/D-STR-TET-TIA-TMP";"2 (2.4)";"";"";"";"4 (2.4)";"1 (2.2)";"";"7 (2)"
"CEF-CIP-PEN-STR-TET";"";"";"";"";"7 (4.2)";"";"";"7 (2)"
"CEF-GEN-KAN-PEN-TET";"";"";"";"1 (9.1)";"6 (3.6)";"";"";"7 (2)"
"CEF-CIP-CLI-ERY-PEN-Q/D-TET-TIA-TMP";"2 (2.4)";"";"";"";"1 (0.6)";"2 (4.4)";"1 (16.7)";"6 (1.7)"
"CEF-PEN-TET-TMP";"";"";"2 (5.4)";"";"4 (2.4)";"";"";"6 (1.7)"
"CEF-CIP-CLI-ERY-PEN-Q/D-STR-TET-TIA-TMP";"2 (2.4)";"";"1 (2.7)";"";"1 (0.6)";"1 (2.2)";"";"5 (1.4)"
"CEF-CLI-ERY-PEN-Q/D-TET-TIA";"3 (3.6)";"";"1 (2.7)";"";"";"1 (2.2)";"";"5 (1.4)"
"CEF-CLI-ERY-GEN-KAN-PEN-TET";"1 (1.2)";"";"";"";"3 (1.8)";"";"";"4 (1.1)"
"CEF-CLI-ERY-PEN-TET";"1 (1.2)";"";"";"1 (9.1)";"";"1 (2.2)";"1 (16.7)";"4 (1.1)"
"CEF-CHL-CIP-CLI-KAN-PEN-Q/D-STR-TET-TIA";"";"";"";"";"3 (1.8)";"";"";"3 (0.8)"
"CEF-CHL-CIP-PEN-STR-TET";"";"";"";"";"3 (1.8)";"";"";"3 (0.8)"
"CEF-CIP-PEN-TET-TMP";"";"";"";"";"2 (1.2)";"1 (2.2)";"";"3 (0.8)"
"CEF-CLI-ERY-GEN-KAN-PEN-TET-TMP";"1 (1.2)";"";"2 (5.4)";"";"";"";"";"3 (0.8)"
"CEF-CLI-ERY-GEN-PEN-TET-TMP";"1 (1.2)";"";"1 (2.7)";"";"";"1 (2.2)";"";"3 (0.8)"
"CEF-GEN-KAN-PEN";"";"3 (75)";"";"";"";"";"";"3 (0.8)"
"CEF-GEN-KAN-PEN-TET-TMP";"1 (1.2)";"";"";"1 (9.1)";"1 (0.6)";"";"";"3 (0.8)"
"CEF-CHL-CIP-CLI-ERY-PEN-STR-TET";"";"";"";"2 (18.2)";"";"";"";"2 (0.6)"
"CEF-CHL-CIP-CLI-ERY-PEN-TET";"";"";"";"";"2 (1.2)";"";"";"2 (0.6)"
"CEF-CHL-CLI-ERY-PEN-TET-TMP";"1 (1.2)";"";"";"";"";"1 (2.2)";"";"2 (0.6)"
"CEF-CHL-PEN-TET";"";"";"1 (2.7)";"";"";"1 (2.2)";"";"2 (0.6)"
"CEF-CIP-CLI-ERY-PEN";"1 (1.2)";"";"1 (2.7)";"";"";"";"";"2 (0.6)"
"CEF-CIP-CLI-ERY-PEN-STR-TET";"";"";"";"";"";"2 (4.4)";"";"2 (0.6)"
"CEF-CIP-CLI-PEN-Q/D-TET-TIA-TMP";"2 (2.4)";"";"";"";"";"";"";"2 (0.6)"
"CEF-CLI-ERY-GEN-KAN-PEN-STR-TET-TMP";"1 (1.2)";"";"";"";"";"1 (2.2)";"";"2 (0.6)"
"CEF-CLI-ERY-PEN-Q/D-TET-TMP";"1 (1.2)";"";"";"";"";"1 (2.2)";"";"2 (0.6)"
"CEF-CLI-ERY-PEN-STR-TET";"1 (1.2)";"";"";"1 (9.1)";"";"";"";"2 (0.6)"
"CEF-CLI-ERY-PEN-TET-TMP";"1 (1.2)";"";"";"";"";"1 (2.2)";"";"2 (0.6)"
